구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1572,2019-08-14,2019-08-20,유치원,부산  부산광역시립시민도서관  그림책과 함께하는 연극놀이(6세),부산광역시립시민도서관 배움1실,부산광역시 부산진구 월드컵대로 462
1573,2019-08-14,2019-08-20,유치원,부산  부산광역시립시민도서관  그림책과 함께하는 연극놀이(7세),부산광역시립시민도서관 배움1실,부산광역시 부산진구 월드컵대로 462
1574,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  어린이 주산교실,부산광역시립시민도서관 배움1실,부산광역시 부산진구 월드컵대로 462
1575,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  신기한 과학공작소,부산광역시립시민도서관 배움2실,부산광역시 부산진구 월드컵대로 462
1576,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  유물 유적과 함께하는 역사 여행,부산광역시립시민도서관 배움1실,부산광역시 부산진구 월드컵대로 462
1577,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  나만의 건축물 만들기,부산광역시립시민도서관 배움1실,부산광역시 부산진구 월드컵대로 462
1578,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  책을 만나 행복해,부산광역시립시민도서관 배움2실,부산광역시 부산진구 월드컵대로 462
1579,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  그림으로 배우는 음악 이야기,부산광역시립시민도서관 배움2실,부산광역시 부산진구 월드컵대로 462
1580,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  책 읽기는 나의 힘,부산광역시립시민도서관 배움2실,부산광역시 부산진구 월드컵대로 462
1581,2019-08-14,2019-08-20,초등학교,부산  부산광역시립시민도서관  생각 쑥쑥 논술,부산광역시립시민도서관 배움4실,부산광역시 부산진구 월드컵대로 462
1582,2019-08-14,2019-08-20,유치원,부산  부산광역시립시민도서관  노래와 스토리로 배우는 영어(7세반),부산광역시립시민도서관 배움2실,부산광역시 부산진구 월드컵대로 462
1583,2019-08-14,2019-08-20,유치원,부산  부산광역시립시민도서관  노래와 스토리로 배우는 영어(6세반),부산광역시립시민도서관 배움2실,부산광역시 부산진구 월드컵대로 462
1584,2019-08-14,2019-08-20,"중학교,초등학교",부산  부산광역시립시민도서관  창의쑥쑥 보드게임,부산광역시립시민도서관 배움1실,부산광역시 부산진구 월드컵대로 462
1585,2019-08-14,2019-08-20,유치원,부산  부산광역시립시민도서관  키즈아트 잉글리쉬(7세반),부산광역시립시민도서관 배움3실,부산광역시 부산진구 월드컵대로 462
1586,2019-08-14,2019-08-20,유치원,부산  부산광역시립시민도서관  키즈아트 잉글리쉬(6세반),부산광역시립시민도서관 배움3실,부산광역시 부산진구 월드컵대로 462
1587,2019-08-13,2019-08-15,초등학교,인천  인천대학교 무한상상실  DHA 교육프로그램,인천대학교 무한상상실,인천광역시 남구 석정로 165(도화동) 인천대학교 제물포캠퍼스
1588,2019-08-13,2019-11-30,초등학교,인천  동구청소년수련관  주말평생프로그램_데생수채화,동구청소년수련관,인천광역시 동구 솔빛로 82 (동구 송림동 56-1)
