구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
144,2021-05-17,2021-05-21,"초등학교,일반",인천 인천도시역사관  Hi 인천분식,인천도시역사관,인천광역시 남동구 정각로 29
145,2021-05-17,,"초등학교,일반",경기 광주시문화재단  OnTACT로 만나장(場),온라인,경기 광주시 회안대로 891
146,2021-05-15,,"고등학교,초등학교,중학교",충남 천안시청소년수련관  Perfumed 나만의 향수 만들기,천안시청소년수련관,충청남도 천안시 동남구 문화동 101-2
147,2021-05-14,2021-06-01,"중학교,고등학교,초등학교,일반,교원",경기 수원청소년문화센터  2021. 수원 청소년 e스포츠 대회 참가팀 모집,수원청소년문화센터,수원시 팔달구 권광로 293
148,2021-05-13,2021-09-23,"일반,교원,고등학교,초등학교,중학교",서울 우리가만드는미래  일본군 관사에서 만나는 안중근 의사,상암동 일본군 관사,서울특별시 마포구 신수동 101-25
149,2021-05-13,2021-05-31,"일반,교원","경기 고양시립대화도서관  2021년 길 위의 인문학 프로그램  지금, 지구를 돌보는 환경시간 ",고양시립대화도서관,경기도 고양시 일산서구 일산로 689
150,2021-05-13,2021-05-28,"중학교,고등학교",울산 청소년차오름센터  청소년운영위원회 완두콩 기획프로그램   페이스메이커,청소년차오름센터,울산 남구 법대로81번길 1
151,2021-05-12,2021-05-21,초등학교,경남 김해청소년문화의집  문화체험1(동물모양 가죽손거울),김해청소년문화의집,경상남도 김해시 김해대로 2401(부원동)
152,2021-05-12,,"일반,교원",경기 부천시립꿈빛도서관  길위의 인문학  그림 쏙 세계사  회원모집 안내,온라인(ZOOM),경기도 부천시 중동 신흥로275번길 19
153,2021-05-12,,초등학교,"온라인 서대문형무소역사관  기억을 담아내다, 독립운동가 어록",서대문형무소역사관,서울특별시 서대문구 통일로 251
154,2021-05-11,2021-05-28,초등학교,온라인 김해청소년문화의집  가족과 함께하는 댄스교실 2기,김해청소년문화의집,경상남도 김해시 김해대로 2401(부원동)
155,2021-05-11,,"일반,교원,유치원",경기 내손도서관  2021년 북스타트 프로그램 안내,온라인 ZOOM,경기도 의왕시 복지로 109 (내손2동)
156,2021-05-10,2021-06-01,"일반,교원,초등학교",인천 계양구청소년수련관  가족과 함께하는 업사이클 공예교실,계양구청소년수련관,인천광역시 계양구 장제로 937
157,2021-05-10,2021-05-20,초등학교,서울 동부공원녹지사업소  집에서 즐기는 어린이조경학교 특별 프로그램 참여 안내,동부공원녹지사업소,서울특별시 동작구 신대방동 여의대방로20길 33
158,2021-05-08,2021-08-31,"고등학교,초등학교,중학교",강원 춘천시청소년문화의집  욜로 YOLO 온라인 강연대회,춘천시청소년문화의집,강원도 춘천시 죽림동 189 브라운가 6303호
159,2021-05-08,2021-06-08,"중학교,고등학교",서울 시립노원청소년센터  여성가족부 청소년프로그램 공모사업 오늘의 패션위크 참가자 모집,시립노원청소년센터,서울시 노원구 덕릉로70길99
160,2021-05-07,,초등학교,경기 본오도서관  2021 초등교양강좌 창의융합공예,본오도서관,경기도 안산시 상록구 각골로 49
161,2021-05-04,2021-10-12,초등학교,광주 시립원당산청소년문화의집  떠나자 밤 하늘,시립원당산청소년문화의집,광주광역시 광산구 수완동 장덕로96번길 15
162,2021-05-04,2021-05-13,"고등학교,초등학교,중학교",서울 서대문청소년센터  청하별하 제1회 라이브 e스포츠 대회,서대문청소년센터,서울특별시 서대문구 연희동 167-1
163,2021-05-03,2021-06-13,초등학교,"경기 경기꿈의학교  나의 時 선, 다 時 그림책 꿈의학교 참여학생 모집","스페이스오즈 큰 회의실 (안산시 단원구 광덕4로 246 천혜중앙빌딩 지하 1층)   대동서적 사동본점 세미나룸 (안산시 상록구 석호로 235) , 4.16민주시민교육원 미래희망관 2층 고래실 (경기 안산...",안산시 단원구 광덕4로 246 천혜중앙빌딩
164,2021-05-03,2021-05-31,"초등학교,중학교",인천 한국이민사박물관  5월 비대면 동영상 교육프로그램  포와로 가는 길  ,한국이민사박물관,인천 중구 월미로 329
165,2021-05-03,2021-05-21,"중학교,유치원,고등학교,초등학교,일반",서울 영등포구건강가정 다문화가족지원센터  가족사랑의 날 부모자녀 상호작용 평가(MIM),영등포구 건강가정 다문화가족지원센터,서울특별시 영등포구 영등포로84길 24-5
166,2021-05-03,2021-05-21,초등학교,인천 한국이민사박물관  2021 유아 단체 교육프로그램  함해나 할머니 이야기 ,한국이민사박물관,인천 중구 월미로 329
167,2021-05-03,2021-05-05,"일반,초등학교",서울 몽촌역사관  2021 가족대상  몽촌토성투어프로그램  한눈에 쏙  몽촌토성 첫걸음,몽촌역사관,서울특별시 송파구 방이동 올림픽로 424
168,2021-05-01,2021-05-14,"중학교,고등학교",세종 북세종종합청소년센터  제2회 세종청소년전자오락대회 The Rival 대회,온라인,세종특별자치시 조치원읍 평리 12-3
169,2021-04-30,,"초등학교,유치원",서울 예술의전당  어린이아카데미  예술놀이 스튜디오 ,예술의전당,서울특별시 서초구 남부순환로 2406
170,2021-04-29,2021-05-31,초등학교,경기 유엔환경계획한국협회  제19회 e파란 어린이 환경그림대회 개최,유엔환경계획한국협회,경기도 과천시 과천동 363-1번지 C동 2층
171,2021-04-27,2021-05-20,초등학교,경남 양산시청소년문화의집  청소년응급처치교육  골든타임 참가자 모집,양산시청소년문화의집 다목적실(웅상문화체육센터 4층),경상남도 양산시 양주3길 36
172,2021-04-27,2021-05-08,"중학교,일반,고등학교",서울 잠실청소년센터  언택트 송파탐방 알송달송 4탄 참가자 모집,잠실청소년센터,서울특별시 송파구 잠실동 194-7
173,2021-04-27,,"일반,유치원",전남 나주공공도서관  유아 창의체험 놀이터 운영 안내,나주공공도서관,전라남도 나주시 남고문로 51
174,2021-04-26,2021-10-29,"고등학교,초등학교,중학교,유치원,일반,교원",충남 국립생태원  우리 숲 여행,국립생태원 내 야외전시구역 한반도 숲,충남 서천군 마서면 금강로 1210
175,2021-04-20,2021-05-18,"일반,유치원",서울 영등포구건강가정 다문화가족지원센터  영유아기부모교육 금쪽같은 내새끼 참여자 모집,영등포구건강가정 다문화가족지원센터,서울특별시 영등포구 영등포로84길 24-5
176,2021-04-20,2021-05-15,"고등학교,초등학교,중학교",경기 능곡청소년문화의집  2021 청소년 문화예술교육지원사업 상상학교 연극 프로그램 능곡스테이지 ON,능곡청소년문화의집,경기도 시흥시 능곡동 710 능곡복합커뮤니티센터
177,2021-04-20,2021-05-07,"고등학교,중학교",강원 춘천시청소년수련관  2021 춘천진로체험지원센터 청소년미디어기자단 나래마루 1기 모집,춘천시청소년수련관,강원도 춘천시 효자동 126-3
178,2021-04-20,2021-04-30,"중학교,고등학교,초등학교",강원 춘천시청소년수련관  효자동 모두의 텃밭   쫌쫌따리,춘천시청소년수련관,강원도 춘천시 효자동 126-3
179,2021-04-20,2021-04-30,"일반,교원,고등학교,초등학교,중학교,유치원",경기 의정부시평생학습원  의정부 온라인 시민대학   온라인 강좌 총16강,의정부시평생학습원,경기도 의정부시 의정로 165
180,2021-04-19,2021-12-31,"일반,교원,고등학교,초등학교,중학교,유치원",충남 국립생태원  사라져가는 5대 기후 속 동식물 이야기,에코리움,충남 서천군 마서면 금강로 1210
181,2021-04-19,2021-05-19,"고등학교,초등학교,중학교,일반",광주 광양시청소년문화센터  2021 광양시청소년문화센터 비대면 정책제안대회,광양시청소년문화센터,전라남도 광양시 광장로 14 (지번) 중동 1658
182,2021-04-16,2021-05-09,"중학교,유치원,고등학교,초등학교",전남  2021완도국제해조류박람회,완도항과 해변공원 일원,전남 완도읍 청해진남로 51
183,2021-04-16,2021-04-27,"고등학교,초등학교,중학교,유치원,일반,교원",서울 서초문화재단  5월 온라인 아카데미 수강생 모집,서초문화재단,"서울특별시 서초구 사평대로 55, 1층(반포동, 심산기념문화센터 내)"
184,2021-04-15,,"초등학교,유치원",대전 대전교육과학연구원  주말에는 과학과 놀자,대전교육과학연구원,대전광역시 유성구 대덕대로 507-50
185,2021-04-14,,"유치원,초등학교",세종 비오케이아트센터  이지작가와 함께하는 소프트 파스텔 클래스 정규반,비오케이아트센터,"세종특별자치시 국책연구원3로 12, 6층 601호"
186,2021-04-12,,"중학교,일반,교원,고등학교,초등학교",서울 상촌재  봄맞이 전통교육 수강생 모집,상촌재,"서울특별시 종로구 새문안로3길 3, 6층"
187,2021-04-10,2021-04-24,초등학교,온라인 성북선잠박물관  온라인 선잠어린이박물관학교,성북선잠박물관,서울특별시 성북구 성북로 96(성북동)
188,2021-04-09,2021-06-20,중학교,온라인 아이들과미래재단  2021 주니어건설아카데미 꿈 찾기 오픈 강좌,아이들과미래재단,서울 동작구 사당로 272 5층
189,2021-04-09,2021-05-07,"고등학교,초등학교,일반,교원,중학교",전국 한국해양재단  2021년 해양교육 동아리 공모 안내,전국,서울특별시 종로구 창경궁로 112-7 인의빌딩 4층 한국해양재단
190,2021-04-08,2021-04-25,"중학교,초등학교","온라인 국립대구과학관  지구야, 같이 살자",국립대구과학관,대구광역시 달성군 유가읍 테크노대로 6길 20
191,2021-04-08,2021-04-16,"일반,교원,고등학교,초등학교,중학교,유치원",세종 세종테크노파크  메타버스 타고 만나는 스마트 세종 참가자 모집,기타,세종특별자치시 조치원읍 군청로 93
192,2021-04-07,2021-04-14,"고등학교,초등학교,중학교",서울 천마공원  치유숲길 프로그램(호연지기 숲),천마공원 치유숲,서울특별시 송파구 성내천로29길 32
193,2021-04-06,2021-04-17,"교원,고등학교,초등학교,중학교",충남 충청남도교육청과학교육원  과학문화 확산 주간 운영,충청남도교육청과학교육원,충청남도 아산시 순천향로 624-30
194,2021-04-05,2021-06-21,초등학교,온라인 국립중앙박물관 어린이박물관  바위그림이 살아있다,온라인,서울특별시 용산구 서빙고로 137(용산동6가 168-6)
195,2021-04-05,2021-04-21,일반,서울 대한민국역사박물관  2021 상반기 현대사 시민강좌,6층 제1강의실,서울특별시 종로구 세종대로 198
196,2021-04-05,2021-04-19,일반,서울 은평문화재단  2021 은평생활문화센터 레지던시 프로그램 시범운영  협력 아티스트 공모지원 사업,은평문화재단,서울 은평구 녹번로 16 (녹번동)
197,2021-04-05,2021-04-16,초등학교,"온라인 청계천박물관  2021년 5월 온라인 졸졸졸 개천, 콸콸콸 준천 교육생 모집",청계천박물관,서울시 성동구 청계천로 530
198,2021-04-03,2021-10-30,"일반,교원",충남 온양민속박물관  2021 박물관 문화가 있는 날   공예담소 工藝談笑,온양민속박물관,충남 아산시 충무로 123
199,2021-04-01,2022-03-31,"고등학교,초등학교,중학교,일반,교원",강원 월드프렌즈빌리지  지구를 살리는 소비와 생산,월드프렌즈빌리지,강원도 영월군 주천면 다래골길 53
200,2021-04-01,2022-03-31,"중학교,일반,교원,고등학교,초등학교",강원 월드프렌즈빌리지  해피투게더,월드프렌즈빌리지,강원도 영월군 주천면 다래골길 53
201,2021-04-01,2021-12-31,"고등학교,초등학교,일반,중학교",경기 경기창작센터  2021년 창의예술학교 프로그램,경기창작센터,경기 안산시 단원구 선감로 101-19
202,2021-04-01,2021-11-30,초등학교,서울 국립서울현충원  국가상징체험학습,국립서울현충원,서울 동작구 현충로 210
203,2021-04-01,2021-05-25,"고등학교,초등학교,중학교,유치원,일반,교원",서울 서초구립반포도서관  2021 2분기 서리풀 문화강좌 스페인의 혼 플라멩코에 빠지다,서초구립반포도서관,서울시 서초구 고무래로 34
204,2021-04-01,2021-05-15,"고등학교,중학교",서울 자원순환학교  제11회 청소년 자원순환 리더십 프로젝트,자원순환사회연대,서울시 종로구 새문안로5가길 28 광화문플래티넘 1217호
